counter	time	type	name	value
1-1	1		Gared	362
1-1	1		Waymar Royce	306
1-1	1		Will	763
1-1	1		Wight Wildling Girl	17
4-2	32		Wight Wildling Girl	51
1-1	1		White Walker	79
2-2	12		White Walker	109
2-10	20		White Walker	209
3-1	21		White Walker	318
3-8	28		White Walker	381
4-2	32		White Walker	415
4-4	34		White Walker	563
5-8	48		White Walker	707
6-5	55		White Walker	771
7-1	61		White Walker	877
7-5	65		White Walker	883
7-6	66		White Walker	1235
7-7	67		White Walker	1310
8-2	69		White Walker	1337
8-3	70		White Walker	1557
1-1	1	stark	Jon Snow	1099
1-2	2	stark	Jon Snow	1938
1-3	3	stark	Jon Snow	2554
1-4	4	stark	Jon Snow	3421
1-7	7	stark	Jon Snow	4082
1-8	8	stark	Jon Snow	4526
1-9	9	stark	Jon Snow	4980
1-10	10	stark	Jon Snow	5323
2-1	11	stark	Jon Snow	5697
2-2	12	stark	Jon Snow	5952
2-3	13	stark	Jon Snow	6103
2-5	15	stark	Jon Snow	6429
2-6	16	stark	Jon Snow	7135
2-7	17	stark	Jon Snow	7598
2-8	18	stark	Jon Snow	7757
2-10	20	stark	Jon Snow	7981
3-1	21	stark	Jon Snow	8416
3-2	22	stark	Jon Snow	8576
3-3	23	stark	Jon Snow	8712
3-5	25	stark	Jon Snow	9091
3-6	26	stark	Jon Snow	9736
3-7	27	stark	Jon Snow	10130
3-9	29	stark	Jon Snow	10441
3-10	30	stark	Jon Snow	10601
4-1	31	stark	Jon Snow	10815
4-3	33	stark	Jon Snow	10977
4-4	34	stark	Jon Snow	11497
4-5	35	stark	Jon Snow	11938
4-7	37	stark	Jon Snow	12108
4-8	38	stark	Jon Snow	12219
4-9	39	stark	Jon Snow	13476
4-10	40	stark	Jon Snow	14419
5-1	41	stark	Jon Snow	15236
5-2	42	stark	Jon Snow	15720
5-3	43	stark	Jon Snow	16272
5-4	44	stark	Jon Snow	16579
5-5	45	stark	Jon Snow	17189
5-7	47	stark	Jon Snow	17324
5-8	48	stark	Jon Snow	18773
5-9	49	stark	Jon Snow	18944
5-10	50	stark	Jon Snow	19485
6-1	51	stark	Jon Snow	19957
6-2	52	stark	Jon Snow	20412
6-3	53	stark	Jon Snow	21029
6-4	54	stark	Jon Snow	21550
6-5	55	stark	Jon Snow	21790
6-7	57	stark	Jon Snow	22535
6-9	59	stark	Jon Snow	24323
6-10	60	stark	Jon Snow	25012
7-1	61	stark	Jon Snow	25474
7-2	62	stark	Jon Snow	25970
7-3	63	stark	Jon Snow	27163
7-4	64	stark	Jon Snow	27817
7-5	65	stark	Jon Snow	28741
7-6	66	stark	Jon Snow	30966
7-7	67	stark	Jon Snow	32852
8-1	68	stark	Jon Snow	34026
8-2	69	stark	Jon Snow	34930
8-3	70	stark	Jon Snow	35661
8-4	71	stark	Jon Snow	37034
8-5	72	stark	Jon Snow	37839
8-6	73	stark	Jon Snow	40365
1-1	1	stark	Bran Stark	1083
1-2	2	stark	Bran Stark	1729
1-3	3	stark	Bran Stark	1911
1-4	4	stark	Bran Stark	2117
1-5	5	stark	Bran Stark	2272
1-6	6	stark	Bran Stark	2591
1-8	8	stark	Bran Stark	2953
1-10	10	stark	Bran Stark	3115
2-1	11	stark	Bran Stark	3322
2-3	13	stark	Bran Stark	3507
2-5	15	stark	Bran Stark	3716
2-6	16	stark	Bran Stark	4185
2-7	17	stark	Bran Stark	4246
2-8	18	stark	Bran Stark	4302
2-10	20	stark	Bran Stark	4502
3-2	22	stark	Bran Stark	4929
3-4	24	stark	Bran Stark	5008
3-6	26	stark	Bran Stark	5189
3-7	27	stark	Bran Stark	5427
3-9	29	stark	Bran Stark	5856
3-10	30	stark	Bran Stark	6270
4-2	32	stark	Bran Stark	6451
4-4	34	stark	Bran Stark	6727
4-5	35	stark	Bran Stark	7184
4-10	40	stark	Bran Stark	7697
6-2	52	stark	Bran Stark	7989
6-3	53	stark	Bran Stark	8382
6-5	55	stark	Bran Stark	9143
6-6	56	stark	Bran Stark	9518
6-10	60	stark	Bran Stark	9804
7-1	61	stark	Bran Stark	9893
7-3	63	stark	Bran Stark	10047
7-4	64	stark	Bran Stark	10463
7-5	65	stark	Bran Stark	10487
7-7	67	stark	Bran Stark	11050
8-1	68	stark	Bran Stark	11378
8-2	69	stark	Bran Stark	11990
8-3	70	stark	Bran Stark	12536
8-4	71	stark	Bran Stark	13317
8-6	73	stark	Bran Stark	14346
1-1	1	stark	Robb Stark	859
1-2	2	stark	Robb Stark	1205
1-3	3	stark	Robb Stark	1387
1-4	4	stark	Robb Stark	1490
1-6	6	stark	Robb Stark	1763
1-8	8	stark	Robb Stark	2414
1-9	9	stark	Robb Stark	2777
1-10	10	stark	Robb Stark	3033
2-1	11	stark	Robb Stark	3572
2-4	14	stark	Robb Stark	3787
2-6	16	stark	Robb Stark	4081
2-7	17	stark	Robb Stark	4245
2-8	18	stark	Robb Stark	4920
2-10	20	stark	Robb Stark	5075
3-1	21	stark	Robb Stark	5245
3-2	22	stark	Robb Stark	5450
3-3	23	stark	Robb Stark	5724
3-5	25	stark	Robb Stark	6127
3-6	26	stark	Robb Stark	6353
3-7	27	stark	Robb Stark	6661
3-9	29	stark	Robb Stark	7690
3-10	30	stark	Robb Stark	7711
6-6	56	stark	Robb Stark	7721
1-1	1	stark	Eddard Stark	1604
1-2	2	stark	Eddard Stark	2482
1-3	3	stark	Eddard Stark	3596
1-4	4	stark	Eddard Stark	4348
1-5	5	stark	Eddard Stark	5725
1-6	6	stark	Eddard Stark	6386
1-7	7	stark	Eddard Stark	7594
1-8	8	stark	Eddard Stark	7786
1-9	9	stark	Eddard Stark	8357
1-10	10	stark	Eddard Stark	8563
4-2	32	stark	Eddard Stark	8597
6-6	56	stark	Eddard Stark	8604
1-1	1	stark	Catelyn Stark	1121
1-2	2	stark	Catelyn Stark	1919
1-3	3	stark	Catelyn Stark	2262
1-4	4	stark	Catelyn Stark	2446
1-5	5	stark	Catelyn Stark	2833
1-6	6	stark	Catelyn Stark	3435
1-8	8	stark	Catelyn Stark	3926
1-9	9	stark	Catelyn Stark	4533
1-10	10	stark	Catelyn Stark	4972
2-1	11	stark	Catelyn Stark	5143
2-3	13	stark	Catelyn Stark	5472
2-4	14	stark	Catelyn Stark	5893
2-5	15	stark	Catelyn Stark	6284
2-6	16	stark	Catelyn Stark	6445
2-7	17	stark	Catelyn Stark	6772
2-8	18	stark	Catelyn Stark	6873
2-10	20	stark	Catelyn Stark	6977
3-1	21	stark	Catelyn Stark	7082
3-2	22	stark	Catelyn Stark	7347
3-3	23	stark	Catelyn Stark	7627
3-4	24	stark	Catelyn Stark	7643
3-5	25	stark	Catelyn Stark	7917
3-6	26	stark	Catelyn Stark	8143
3-7	27	stark	Catelyn Stark	8216
3-9	29	stark	Catelyn Stark	9290
6-6	56	stark	Catelyn Stark	9297
1-1	1	stark	Rickon Stark	528
1-8	8	stark	Rickon Stark	650
1-10	10	stark	Rickon Stark	726
2-5	15	stark	Rickon Stark	823
2-6	16	stark	Rickon Stark	1150
2-7	17	stark	Rickon Stark	1211
2-8	18	stark	Rickon Stark	1267
2-10	20	stark	Rickon Stark	1467
3-2	22	stark	Rickon Stark	1594
3-6	26	stark	Rickon Stark	1775
3-7	27	stark	Rickon Stark	2013
3-9	29	stark	Rickon Stark	2428
6-3	53	stark	Rickon Stark	2504
6-9	59	stark	Rickon Stark	2770
1-1	1	stark	Sansa Stark	773
1-2	2	stark	Sansa Stark	1296
1-3	3	stark	Sansa Stark	1432
1-4	4	stark	Sansa Stark	1784
1-5	5	stark	Sansa Stark	2023
1-6	6	stark	Sansa Stark	2343
1-8	8	stark	Sansa Stark	2907
1-9	9	stark	Sansa Stark	3237
1-10	10	stark	Sansa Stark	3608
2-1	11	stark	Sansa Stark	3869
2-3	13	stark	Sansa Stark	4090
2-4	14	stark	Sansa Stark	4262
2-6	16	stark	Sansa Stark	4550
2-7	17	stark	Sansa Stark	4855
2-9	19	stark	Sansa Stark	5715
2-10	20	stark	Sansa Stark	6063
3-1	21	stark	Sansa Stark	6284
3-2	22	stark	Sansa Stark	6696
3-4	24	stark	Sansa Stark	6864
3-5	25	stark	Sansa Stark	7011
3-6	26	stark	Sansa Stark	7231
3-7	27	stark	Sansa Stark	7420
3-8	28	stark	Sansa Stark	8286
3-10	30	stark	Sansa Stark	8432
4-1	31	stark	Sansa Stark	8746
4-2	32	stark	Sansa Stark	9776
4-3	33	stark	Sansa Stark	10009
4-4	34	stark	Sansa Stark	10191
4-5	35	stark	Sansa Stark	10685
4-7	37	stark	Sansa Stark	11183
4-8	38	stark	Sansa Stark	11562
5-1	41	stark	Sansa Stark	11682
5-2	42	stark	Sansa Stark	11941
5-3	43	stark	Sansa Stark	12243
5-4	44	stark	Sansa Stark	12559
5-5	45	stark	Sansa Stark	13103
5-6	46	stark	Sansa Stark	13755
5-7	47	stark	Sansa Stark	14110
5-8	48	stark	Sansa Stark	14280
5-10	50	stark	Sansa Stark	14481
6-1	51	stark	Sansa Stark	14885
6-2	52	stark	Sansa Stark	15061
6-4	54	stark	Sansa Stark	15547
6-5	55	stark	Sansa Stark	16112
6-7	57	stark	Sansa Stark	16898
6-9	59	stark	Sansa Stark	17745
6-10	60	stark	Sansa Stark	18329
7-1	61	stark	Sansa Stark	18884
7-2	62	stark	Sansa Stark	19235
7-3	63	stark	Sansa Stark	19556
7-4	64	stark	Sansa Stark	20086
7-5	65	stark	Sansa Stark	20264
7-6	66	stark	Sansa Stark	21073
7-7	67	stark	Sansa Stark	21765
8-1	68	stark	Sansa Stark	22292
8-2	69	stark	Sansa Stark	23076
8-3	70	stark	Sansa Stark	23566
8-4	71	stark	Sansa Stark	24707
8-6	73	stark	Sansa Stark	25705
1-1	1	stark	Arya Stark	722
1-2	2	stark	Arya Stark	1322
1-3	3	stark	Arya Stark	1887
1-4	4	stark	Arya Stark	2244
1-5	5	stark	Arya Stark	2528
1-6	6	stark	Arya Stark	2787
1-8	8	stark	Arya Stark	3014
1-9	9	stark	Arya Stark	3402
1-10	10	stark	Arya Stark	3655
2-1	11	stark	Arya Stark	3684
2-2	12	stark	Arya Stark	4151
2-3	13	stark	Arya Stark	4702
2-4	14	stark	Arya Stark	5114
2-5	15	stark	Arya Stark	5534
2-6	16	stark	Arya Stark	6068
2-7	17	stark	Arya Stark	6431
2-8	18	stark	Arya Stark	6843
2-10	20	stark	Arya Stark	7028
3-2	22	stark	Arya Stark	7438
3-3	23	stark	Arya Stark	7617
3-4	24	stark	Arya Stark	7919
3-5	25	stark	Arya Stark	8440
3-6	26	stark	Arya Stark	8756
3-7	27	stark	Arya Stark	8892
3-8	28	stark	Arya Stark	9059
3-9	29	stark	Arya Stark	9459
3-10	30	stark	Arya Stark	9640
4-1	31	stark	Arya Stark	10255
4-3	33	stark	Arya Stark	10636
4-5	35	stark	Arya Stark	10876
4-7	37	stark	Arya Stark	11362
4-8	38	stark	Arya Stark	11490
4-10	40	stark	Arya Stark	12150
5-2	42	stark	Arya Stark	12569
5-3	43	stark	Arya Stark	13139
5-6	46	stark	Arya Stark	13871
5-8	48	stark	Arya Stark	14147
5-9	49	stark	Arya Stark	14653
5-10	50	stark	Arya Stark	14920
6-1	51	stark	Arya Stark	15058
6-2	52	stark	Arya Stark	15175
6-3	53	stark	Arya Stark	15475
6-5	55	stark	Arya Stark	16029
6-6	56	stark	Arya Stark	16425
6-7	57	stark	Arya Stark	16567
6-8	58	stark	Arya Stark	17161
6-10	60	stark	Arya Stark	17214
7-1	61	stark	Arya Stark	17505
7-2	62	stark	Arya Stark	17887
7-4	64	stark	Arya Stark	18571
7-5	65	stark	Arya Stark	18980
7-6	66	stark	Arya Stark	19503
7-7	67	stark	Arya Stark	19958
8-1	68	stark	Arya Stark	20250
8-2	69	stark	Arya Stark	20926
8-3	70	stark	Arya Stark	21688
8-4	71	stark	Arya Stark	22438
8-5	72	stark	Arya Stark	23192
8-6	73	stark	Arya Stark	24315
1-1	1	greyjoy	Theon Greyjoy	1196
1-2	2	greyjoy	Theon Greyjoy	1305
1-4	4	greyjoy	Theon Greyjoy	1549
1-5	5	greyjoy	Theon Greyjoy	1808
1-6	6	greyjoy	Theon Greyjoy	2174
1-7	7	greyjoy	Theon Greyjoy	2396
1-8	8	greyjoy	Theon Greyjoy	2802
1-9	9	greyjoy	Theon Greyjoy	3134
1-10	10	greyjoy	Theon Greyjoy	3270
2-1	11	greyjoy	Theon Greyjoy	3430
2-2	12	greyjoy	Theon Greyjoy	4005
2-3	13	greyjoy	Theon Greyjoy	4380
2-5	15	greyjoy	Theon Greyjoy	4604
2-6	16	greyjoy	Theon Greyjoy	5195
2-7	17	greyjoy	Theon Greyjoy	5495
2-8	18	greyjoy	Theon Greyjoy	5769
2-10	20	greyjoy	Theon Greyjoy	6178
3-2	22	greyjoy	Theon Greyjoy	6343
3-3	23	greyjoy	Theon Greyjoy	6649
3-4	24	greyjoy	Theon Greyjoy	6910
3-6	26	greyjoy	Theon Greyjoy	7242
3-7	27	greyjoy	Theon Greyjoy	7565
3-10	30	greyjoy	Theon Greyjoy	7783
4-2	32	greyjoy	Theon Greyjoy	8219
4-6	36	greyjoy	Theon Greyjoy	8602
4-8	38	greyjoy	Theon Greyjoy	8973
5-3	43	greyjoy	Theon Greyjoy	9218
5-5	45	greyjoy	Theon Greyjoy	9607
5-6	46	greyjoy	Theon Greyjoy	10049
5-7	47	greyjoy	Theon Greyjoy	10314
5-8	48	greyjoy	Theon Greyjoy	10484
5-10	50	greyjoy	Theon Greyjoy	10608
6-1	51	greyjoy	Theon Greyjoy	11012
6-2	52	greyjoy	Theon Greyjoy	11148
6-4	54	greyjoy	Theon Greyjoy	11334
6-5	55	greyjoy	Theon Greyjoy	11700
6-7	57	greyjoy	Theon Greyjoy	11897
6-9	59	greyjoy	Theon Greyjoy	12141
6-10	60	greyjoy	Theon Greyjoy	12234
7-2	62	greyjoy	Theon Greyjoy	12747
7-3	63	greyjoy	Theon Greyjoy	12793
7-4	64	greyjoy	Theon Greyjoy	12891
7-7	67	greyjoy	Theon Greyjoy	14787
8-1	68	greyjoy	Theon Greyjoy	14894
8-2	69	greyjoy	Theon Greyjoy	15159
8-3	70	greyjoy	Theon Greyjoy	15572
8-4	71	greyjoy	Theon Greyjoy	15675
1-1	1		Rodrik Cassel	1111
1-2	2		Rodrik Cassel	1220
1-3	3		Rodrik Cassel	1491
1-4	4		Rodrik Cassel	1675
1-5	5		Rodrik Cassel	1943
1-6	6		Rodrik Cassel	2545
1-8	8		Rodrik Cassel	2799
1-9	9		Rodrik Cassel	3183
1-10	10		Rodrik Cassel	3319
2-1	11		Rodrik Cassel	3411
2-5	15		Rodrik Cassel	3452
2-6	16		Rodrik Cassel	3668
1-1	1		Septa Mordane	191
1-3	3		Septa Mordane	327
1-4	4		Septa Mordane	679
1-5	5		Septa Mordane	918
1-6	6		Septa Mordane	1091
1-8	8		Septa Mordane	1133
1-10	10		Septa Mordane	1293
1-1	1		Jory Cassel	703
1-2	2		Jory Cassel	990
1-3	3		Jory Cassel	1144
1-4	4		Jory Cassel	1424
1-5	5		Jory Cassel	1996
1-1	1	stark	Grey Wind	183
1-4	4	stark	Grey Wind	286
1-8	8	stark	Grey Wind	390
2-1	11	stark	Grey Wind	598
2-4	14	stark	Grey Wind	707
3-2	22	stark	Grey Wind	773
3-9	29	stark	Grey Wind	845
3-10	30	stark	Grey Wind	866
1-1	1	stark	Lady	183
1-2	2	stark	Lady	332
1-1	1	stark	Nymeria	183
1-2	2	stark	Nymeria	534
7-2	62	stark	Nymeria	611
1-1	1	stark	Summer	709
1-2	2	stark	Summer	937
1-4	4	stark	Summer	991
2-1	11	stark	Summer	1024
2-3	13	stark	Summer	1057
2-6	16	stark	Summer	1076
2-7	17	stark	Summer	1137
2-10	20	stark	Summer	1237
3-2	22	stark	Summer	1518
3-9	29	stark	Summer	1564
3-10	30	stark	Summer	1978
4-2	32	stark	Summer	2023
4-4	34	stark	Summer	2096
4-10	40	stark	Summer	2459
6-5	55	stark	Summer	2668
1-1	1	stark	Shaggydog	183
1-10	10	stark	Shaggydog	259
2-6	16	stark	Shaggydog	278
2-7	17	stark	Shaggydog	339
2-10	20	stark	Shaggydog	439
3-2	22	stark	Shaggydog	507
3-9	29	stark	Shaggydog	562
6-3	53	stark	Shaggydog	589
6-9	59	stark	Shaggydog	594
1-1	1	stark	Ghost	183
1-2	2	stark	Ghost	383
1-4	4	stark	Ghost	409
1-7	7	stark	Ghost	537
1-8	8	stark	Ghost	678
1-10	10	stark	Ghost	858
2-2	12	stark	Ghost	904
2-5	15	stark	Ghost	1011
2-6	16	stark	Ghost	1172
3-1	21	stark	Ghost	1259
3-3	23	stark	Ghost	1296
4-4	34	stark	Ghost	1394
4-5	35	stark	Ghost	1511
4-7	37	stark	Ghost	1545
4-9	39	stark	Ghost	1564
5-1	41	stark	Ghost	1612
5-7	47	stark	Ghost	1622
6-1	51	stark	Ghost	1834
6-2	52	stark	Ghost	2249
6-3	53	stark	Ghost	2318
8-2	69	stark	Ghost	2447
8-3	70	stark	Ghost	2532
8-4	71	stark	Ghost	2770
8-6	73	stark	Ghost	2909
1-1	1		Jon Arryn	121
1-1	1	lannister	Cersei Lannister	786
1-2	2	lannister	Cersei Lannister	1314
1-3	3	lannister	Cersei Lannister	1542
1-4	4	lannister	Cersei Lannister	1891
1-5	5	lannister	Cersei Lannister	2270
1-6	6	lannister	Cersei Lannister	2539
1-7	7	lannister	Cersei Lannister	3224
1-8	8	lannister	Cersei Lannister	3725
1-9	9	lannister	Cersei Lannister	4055
1-10	10	lannister	Cersei Lannister	4252
2-1	11	lannister	Cersei Lannister	4798
2-2	12	lannister	Cersei Lannister	5075
2-3	13	lannister	Cersei Lannister	5245
2-5	15	lannister	Cersei Lannister	5343
2-6	16	lannister	Cersei Lannister	5533
2-7	17	lannister	Cersei Lannister	5901
2-8	18	lannister	Cersei Lannister	6225
2-9	19	lannister	Cersei Lannister	7000
2-10	20	lannister	Cersei Lannister	7273
3-1	21	lannister	Cersei Lannister	7686
3-2	22	lannister	Cersei Lannister	7817
3-3	23	lannister	Cersei Lannister	8061
3-4	24	lannister	Cersei Lannister	8404
3-5	25	lannister	Cersei Lannister	8674
3-6	26	lannister	Cersei Lannister	8846
3-8	28	lannister	Cersei Lannister	9275
3-10	30	lannister	Cersei Lannister	9702
4-1	31	lannister	Cersei Lannister	9897
4-2	32	lannister	Cersei Lannister	11155
4-3	33	lannister	Cersei Lannister	11645
4-4	34	lannister	Cersei Lannister	11799
4-5	35	lannister	Cersei Lannister	12497
4-6	36	lannister	Cersei Lannister	13627
4-7	37	lannister	Cersei Lannister	13687
4-8	38	lannister	Cersei Lannister	13987
4-10	40	lannister	Cersei Lannister	14396
5-1	41	lannister	Cersei Lannister	14773
5-2	42	lannister	Cersei Lannister	15131
5-3	43	lannister	Cersei Lannister	15679
5-4	44	lannister	Cersei Lannister	15939
5-6	46	lannister	Cersei Lannister	16585
5-7	47	lannister	Cersei Lannister	17235
5-8	48	lannister	Cersei Lannister	17526
5-10	50	lannister	Cersei Lannister	18323
6-1	51	lannister	Cersei Lannister	18576
6-2	52	lannister	Cersei Lannister	18787
6-3	53	lannister	Cersei Lannister	19017
6-4	54	lannister	Cersei Lannister	19369
6-6	56	lannister	Cersei Lannister	19488
6-7	57	lannister	Cersei Lannister	19618
6-8	58	lannister	Cersei Lannister	19989
6-10	60	lannister	Cersei Lannister	20545
7-1	61	lannister	Cersei Lannister	21084
7-2	62	lannister	Cersei Lannister	21289
7-3	63	lannister	Cersei Lannister	21977
7-4	64	lannister	Cersei Lannister	22067
7-5	65	lannister	Cersei Lannister	22391
7-7	67	lannister	Cersei Lannister	23971
8-1	68	lannister	Cersei Lannister	24265
8-4	71	lannister	Cersei Lannister	24806
8-5	72	lannister	Cersei Lannister	25392
8-6	73	lannister	Cersei Lannister	25522
1-1	1	lannister	Jaime Lannister	893
1-2	2	lannister	Jaime Lannister	1128
1-3	3	lannister	Jaime Lannister	1624
1-4	4	lannister	Jaime Lannister	1741
1-5	5	lannister	Jaime Lannister	1934
1-7	7	lannister	Jaime Lannister	2217
1-9	9	lannister	Jaime Lannister	2340
1-10	10	lannister	Jaime Lannister	2523
2-1	11	lannister	Jaime Lannister	2731
2-7	17	lannister	Jaime Lannister	3445
2-8	18	lannister	Jaime Lannister	3588
2-10	20	lannister	Jaime Lannister	3886
3-2	22	lannister	Jaime Lannister	4357
3-3	23	lannister	Jaime Lannister	4794
3-4	24	lannister	Jaime Lannister	5094
3-5	25	lannister	Jaime Lannister	5707
