Date,Subs
10/02/2010,0
10/03/2010,3
10/04/2010,6
10/05/2010,9
10/06/2010,12
10/07/2010,15
10/08/2010,18
10/09/2010,21
10/10/2010,24
10/11/2010,27
10/12/2010,30
10/13/2010,33
10/14/2010,36
10/15/2010,39
10/16/2010,42
10/17/2010,45
10/18/2010,48
10/19/2010,53
10/20/2010,58
10/21/2010,63
10/22/2010,68
10/23/2010,73
10/24/2010,78
10/25/2010,83
10/26/2010,88
10/27/2010,93
10/28/2010,104
10/29/2010,115
10/30/2010,126
10/31/2010,137
11/01/2010,148
11/02/2010,159
11/03/2010,170
11/04/2010,181
11/05/2010,192
11/06/2010,203
11/07/2010,214
11/08/2010,225
11/09/2010,236
11/10/2010,247
11/11/2010,258
11/12/2010,269
11/13/2010,280
11/14/2010,291
11/15/2010,302
11/16/2010,313
11/17/2010,324
11/18/2010,335
11/19/2010,346
11/20/2010,357
11/21/2010,368
11/22/2010,379
11/23/2010,390
11/24/2010,401
11/25/2010,412
11/26/2010,423
11/27/2010,434
11/28/2010,445
11/29/2010,456
11/30/2010,467
12/01/2010,478
12/02/2010,489
12/03/2010,500
12/04/2010,511
12/05/2010,522
12/06/2010,533
12/07/2010,544
12/08/2010,555
12/09/2010,566
12/10/2010,577
12/11/2010,588
12/12/2010,599
12/13/2010,610
12/14/2010,621
12/15/2010,632
12/16/2010,643
12/17/2010,662
12/18/2010,681
12/19/2010,700
12/20/2010,719
12/21/2010,738
12/22/2010,757
12/23/2010,776
12/24/2010,795
12/25/2010,814
12/26/2010,833
12/27/2010,852
12/28/2010,871
12/29/2010,890
12/30/2010,909
12/31/2010,928
01/01/2011,947
01/02/2011,966
01/03/2011,985
01/04/2011,1004
01/05/2011,1023
01/06/2011,1042
01/07/2011,1061
01/08/2011,1080
01/09/2011,1099
01/10/2011,1118
01/11/2011,1143
01/12/2011,1168
01/13/2011,1193
01/14/2011,1218
01/15/2011,1243
01/16/2011,1268
01/17/2011,1293
01/18/2011,1318
01/19/2011,1343
01/20/2011,1368
01/21/2011,1393
01/22/2011,1418
01/23/2011,1443
01/24/2011,1468
01/25/2011,1493
01/26/2011,1518
01/27/2011,1543
01/28/2011,1568
01/29/2011,1593
01/30/2011,1618
01/31/2011,1657
02/01/2011,1696
02/02/2011,1735
02/03/2011,1774
02/04/2011,1813
02/05/2011,1852
02/06/2011,1891
02/07/2011,1930
02/08/2011,1969
02/09/2011,2008
02/10/2011,2047
02/11/2011,2086
02/12/2011,2125
02/13/2011,2164
02/14/2011,2203
02/15/2011,2242
02/16/2011,2281
02/17/2011,2320
02/18/2011,2359
02/19/2011,2398
02/20/2011,2437
02/21/2011,2476
02/22/2011,2515
02/23/2011,2554
02/24/2011,2593
02/25/2011,2632
02/26/2011,2671
02/27/2011,2710
02/28/2011,2749
03/01/2011,2788
03/02/2011,2827
03/03/2011,2858
03/04/2011,2859
03/12/2011,3040
03/13/2011,3049
03/14/2011,3073
03/15/2011,3097
03/16/2011,3113
03/17/2011,3133
03/18/2011,3155
03/19/2011,3683
03/20/2011,3776
03/21/2011,3846
03/22/2011,3896
03/23/2011,4900
03/24/2011,5554
03/25/2011,5662
03/27/2011,5826
03/28/2011,5885
03/29/2011,5943
03/30/2011,6027
03/31/2011,6122
04/01/2011,6176
04/02/2011,6212
04/03/2011,6260
04/04/2011,6315
04/05/2011,6349
04/06/2011,6422
04/07/2011,6483
04/08/2011,6543
04/09/2011,6602
04/10/2011,6657
04/11/2011,6679
04/12/2011,6733
04/13/2011,8044
04/14/2011,8211
04/15/2011,8309
04/16/2011,8342
04/17/2011,8437
04/18/2011,8611
04/19/2011,9481
04/20/2011,9933
04/21/2011,10130
04/22/2011,10377
04/23/2011,10529
04/24/2011,10686
04/25/2011,11081
04/26/2011,11174
04/27/2011,11312
04/28/2011,11413
04/29/2011,11505
04/30/2011,11595
05/01/2011,11691
05/02/2011,11796
05/03/2011,11896
05/04/2011,12011
05/05/2011,12031
05/06/2011,12092
05/07/2011,12238
05/08/2011,12330
05/09/2011,12379
05/10/2011,12425
05/11/2011,12445
05/12/2011,12530
05/13/2011,12592
05/14/2011,12652
05/15/2011,12707
05/16/2011,12790
05/17/2011,12856
05/18/2011,12951
05/19/2011,13002
05/20/2011,13009
05/21/2011,13047
05/22/2011,13109
05/24/2011,13230
05/25/2011,13268
05/26/2011,13329
05/27/2011,13427
05/28/2011,13493
05/29/2011,13516
05/30/2011,13570
05/31/2011,13656
06/01/2011,13759
06/02/2011,13860
06/03/2011,13943
06/05/2011,14159
06/06/2011,14243
06/07/2011,14311
06/08/2011,14335
06/09/2011,14381
06/10/2011,14422
06/11/2011,14469
06/12/2011,14538
06/13/2011,14623
06/14/2011,14698
06/15/2011,14782
06/16/2011,14861
06/17/2011,14918
06/18/2011,14982
06/19/2011,15077
06/20/2011,15158
06/21/2011,15224
06/22/2011,15276
06/23/2011,15397
06/24/2011,15454
06/25/2011,15465
06/26/2011,15537
06/27/2011,15617
06/28/2011,15687
06/29/2011,15797
06/30/2011,15933
07/01/2011,16010
07/02/2011,16078
07/03/2011,16116
07/04/2011,16164
