Date,Subs,,,,
12/23/2010,0,,,,
12/24/2010,3,,,,
12/25/2010,6,,,, 
12/26/2010,9,,,, 
12/27/2010,12,,,, 
12/28/2010,15,,,, 
12/29/2010,18,,,, 
12/30/2010,21,,,, 
12/31/2010,24,,,, 
01/01/2011,30,,,, 
01/02/2011,36,,,, 
01/03/2011,42,,,, 
01/04/2011,48,,,, 
01/05/2011,54,,,, 
01/06/2011,60,,,, 
01/07/2011,66,,,, 
01/08/2011,72,,,, 
01/09/2011,78,,,, 
01/10/2011,84,,,, 
01/11/2011,90,,,, 
01/12/2011,96,,,, 
01/13/2011,102,,,, 
01/14/2011,108,,,, 
01/15/2011,114,,,, 
01/16/2011,120,,,, 
01/17/2011,126,,,, 
01/18/2011,138,,,, 
01/19/2011,150,,,, 
01/20/2011,162,,,, 
01/21/2011,174,,,, 
01/22/2011,186,,,, 
01/23/2011,198,,,, 
01/24/2011,210,,,, 
01/25/2011,222,,,, 
01/26/2011,234,,,, 
01/27/2011,246,,,, 
01/28/2011,258,,,, 
01/29/2011,270,,,, 
01/30/2011,282,,,, 
01/31/2011,294,,,, 
02/01/2011,306,,,, 
02/02/2011,318,,,, 
02/03/2011,330,,,, 
02/04/2011,342,,,, 
02/05/2011,354,,,, 
02/06/2011,366,,,, 
02/07/2011,378,,,, 
02/08/2011,390,,,, 
02/09/2011,402,,,, 
02/10/2011,414,,,, 
02/11/2011,426,,,, 
02/12/2011,450,,,, 
02/13/2011,474,,,, 
02/14/2011,498,,,, 
02/15/2011,522,,,, 
02/16/2011,546,,,, 
02/17/2011,570,,,, 
02/18/2011,594,,,, 
02/19/2011,618,,,, 
02/20/2011,642,,,, 
02/21/2011,666,,,, 
02/22/2011,690,,,, 
02/23/2011,714,,,, 
02/24/2011,738,,,, 
02/25/2011,762,,,, 
02/26/2011,786,,,, 
02/27/2011,810,,,, 
02/28/2011,834,,,, 
03/01/2011,858,,,, 
03/02/2011,882,,,, 
03/03/2011,906,,,, 
03/04/2011,956,,,, 
03/05/2011,1006,,,, 
03/06/2011,1056,,,, 
03/07/2011,1106,,,, 
03/08/2011,1156,,,, 
03/09/2011,1206,,,, 
03/10/2011,1256,,,, 
03/11/2011,1306,,,, 
03/12/2011,1356,,,, 
03/13/2011,1406,,,, 
03/14/2011,1456,,,, 
03/15/2011,1506,,,, 
03/16/2011,1556,,,, 
03/17/2011,1606,,,, 
03/18/2011,1656,,,, 
03/19/2011,1706,,,, 
03/20/2011,1756,,,, 
03/21/2011,1806,,,, 
03/22/2011,1856,,,, 
03/23/2011,1906,,,, 
03/24/2011,1956,,,, 
03/25/2011,2006,,,, 
03/26/2011,2056,,,, 
03/27/2011,2106,,,, 
03/28/2011,2156,,,, 
03/29/2011,2256,,,, 
03/30/2011,2356,,,, 
03/31/2011,2456,,,, 
04/01/2011,2556,,,, 
04/02/2011,2656,,,, 
04/03/2011,2756,,,, 
04/04/2011,2856,,,, 
04/05/2011,2956,,,, 
04/06/2011,3056,,,, 
04/07/2011,3156,,,, 
04/08/2011,3256,,,, 
04/09/2011,3356,,,, 
04/10/2011,3456,,,, 
04/11/2011,3556,,,, 
04/12/2011,3656,,,, 
04/13/2011,3756,,,, 
04/14/2011,3856,,,, 
04/15/2011,3956,,,, 
04/16/2011,4056,,,, 
04/17/2011,4156,,,, 
04/18/2011,4256,,,, 
04/19/2011,4356,,,, 
04/20/2011,4456,,,, 
04/21/2011,4556,,,, 
04/22/2011,4656,,,, 
04/23/2011,4856,,,, 
04/24/2011,5056,,,, 
04/25/2011,5256,,,, 
04/26/2011,5456,,,, 
04/27/2011,5656,,,, 
04/28/2011,5856,,,, 
04/29/2011,6056,,,, 
04/30/2011,6256,,,, 
05/01/2011,6456,,,, 
05/02/2011,6656,,,, 
05/03/2011,6856,,,, 
05/04/2011,7056,,,, 
05/05/2011,7256,,,, 
05/06/2011,7456,,,, 
05/07/2011,7656,,,, 
05/08/2011,7856,,,, 
05/09/2011,8056,,,, 
05/10/2011,8256,,,, 
05/11/2011,8456,,,, 
05/12/2011,8656,,,, 
05/13/2011,8856,,,, 
05/14/2011,9056,,,, 
05/15/2011,9256,,,, 
05/16/2011,9456,,,, 
05/17/2011,9656,,,, 
05/18/2011,9856,,,, 
05/19/2011,10056,,,, 
05/20/2011,10256,,,, 
05/21/2011,10456,,,, 
05/22/2011,10656,,,, 
05/23/2011,10856,,,, 
05/24/2011,11056,,,, 
05/25/2011,11256,,,, 
05/26/2011,11456,,,, 
05/27/2011,11656,,,, 
05/28/2011,11856,,,, 
05/29/2011,12056,,,, 
05/30/2011,12256,,,, 
05/31/2011,12456,,,, 
06/01/2011,12656,,,, 
06/02/2011,12856,,,, 
06/03/2011,13056,,,, 
06/04/2011,13256,,,, 
06/05/2011,13456,,,, 
06/06/2011,13656,,,, 
06/07/2011,13856,,,, 
06/08/2011,14056,,,, 
06/09/2011,14256,,,, 
06/10/2011,14456,,,, 
06/11/2011,14656,,,, 
06/12/2011,14856,,,, 
06/13/2011,15056,,,, 
06/14/2011,15256,,,, 
06/15/2011,15456,,,, 
06/16/2011,15656,,,, 
06/17/2011,15856,,,, 
06/18/2011,16056,,,, 
06/19/2011,16256,,,, 
06/20/2011,16456,,,, 
06/21/2011,16656,,,, 
06/22/2011,16856,,,, 
06/23/2011,17056,,,, 
06/24/2011,17256,,,, 
06/25/2011,17456,,,, 
06/26/2011,17656,,,, 
06/27/2011,17856,,,, 
06/28/2011,18056,,,, 
06/29/2011,18403,,,, 
06/30/2011,18750,,,, 
07/01/2011,19097,,,, 
07/02/2011,19444,,,, 
07/03/2011,19791,,,, 
07/04/2011,20138,,,, 
07/05/2011,20485,,,, 
07/06/2011,20832,,,, 
07/07/2011,21179,,,, 
07/08/2011,21526,,,, 
07/09/2011,21873,,,, 
07/10/2011,22220,,,, 
07/11/2011,22567,,,, 
07/12/2011,22914,,,, 
07/13/2011,23261,,,, 
07/14/2011,23608,,,, 
07/15/2011,23955,,,, 
07/16/2011,24302,,,, 
07/17/2011,24649,,,, 
07/18/2011,24996,,,, 
07/19/2011,25343,,,, 
07/20/2011,25690,,,, 
07/21/2011,26037,,,, 
07/22/2011,26384,,,, 
07/23/2011,26731,,,, 
07/24/2011,27078,,,, 
07/25/2011,27425,,,, 
07/26/2011,27772,,,, 
07/27/2011,28119,,,, 
07/28/2011,28466,,,, 
07/29/2011,28813,,,, 
07/30/2011,29160,,,, 
07/31/2011,29507,,,, 
08/01/2011,29854,,,, 
08/02/2011,30201,,,, 
08/03/2011,30548,,,, 
08/04/2011,30895,,,, 
08/05/2011,31242,,,, 
08/06/2011,31589,,,, 
08/07/2011,31936,,,, 
08/08/2011,32283,,,, 
08/09/2011,32630,,,, 
08/10/2011,32977,,,, 
08/11/2011,33324,,,, 
08/12/2011,33671,,,, 
08/13/2011,34018,,,, 
08/14/2011,34365,,,, 
08/15/2011,34712,,,, 
08/16/2011,35059,,,, 
08/17/2011,35406,,,, 
08/18/2011,35753,,,, 
08/19/2011,36100,,,, 
08/20/2011,36447,,,, 
08/21/2011,36794,,,, 
08/22/2011,37141,,,, 
08/23/2011,37488,,,, 
08/24/2011,37835,,,, 
08/25/2011,38182,,,, 
08/26/2011,38529,,,, 
08/27/2011,38876,,,, 
08/28/2011,39223,,,, 
08/29/2011,39570,,,, 
08/30/2011,39917,,,, 
08/31/2011,40264,,,, 
09/01/2011,40611,,,, 
09/02/2011,40958,,,, 
09/03/2011,41305,,,, 
09/04/2011,41652,,,, 
09/05/2011,41999,,,, 
09/06/2011,42346,,,, 
09/07/2011,42693,,,, 
09/08/2011,43040,,,, 
09/09/2011,43387,,,, 
09/10/2011,43734,,,, 
09/11/2011,44081,,,, 
09/12/2011,44428,,,, 
09/13/2011,44775,,,, 
09/14/2011,45122,,,, 
09/15/2011,45469,,,, 
09/16/2011,45816,,,, 
09/17/2011,46163,,,, 
09/18/2011,46510,,,, 
09/19/2011,46857,,,, 
09/20/2011,47204,,,, 
09/21/2011,47551,,,, 
09/22/2011,47898,,,, 
09/23/2011,48245,,,, 
09/24/2011,48592,,,, 
09/25/2011,48939,,,, 
09/26/2011,49286,,,, 
09/27/2011,49633,,,, 
09/28/2011,49980,,,, 
09/29/2011,50327,,,, 
09/30/2011,50834,,,, 
10/01/2011,51807,,,, 
10/02/2011,52780,,,, 
10/03/2011,53555,,,, 
10/04/2011,54252,,,, 
10/05/2011,54910,,,, 
10/06/2011,55664,,,, 
10/07/2011,56319,,,, 
10/08/2011,57004,,,, 
10/09/2011,57687,,,, 
10/10/2011,58275,,,, 
10/11/2011,58813,,,, 
10/12/2011,59391,,,, 
10/13/2011,60014,,,, 
10/14/2011,60712,,,, 
10/15/2011,61614,,,, 
10/16/2011,62430,,,, 
10/17/2011,63108,,,, 
10/18/2011,63789,,,, 
10/19/2011,64551,,,, 
10/20/2011,65294,,,, 
10/21/2011,66157,,,, 
10/22/2011,67586,,,, 
10/23/2011,68615,,,, 
10/24/2011,69603,,,, 
10/25/2011,70565,,,, 
10/26/2011,71493,,,, 
10/27/2011,72365,,,, 
10/28/2011,73235,,,, 
10/29/2011,74226,,,, 
10/30/2011,75184,,,, 
10/31/2011,76064,,,, 
11/01/2011,76920,,,, 
11/02/2011,77800,,,, 
11/03/2011,78744,,,, 
11/04/2011,79681,,,, 
11/05/2011,80620,,,, 
11/06/2011,81563,,,, 
11/07/2011,82562,,,, 
11/08/2011,83469,,,, 
11/09/2011,84340,,,, 
11/10/2011,85289,,,, 
11/11/2011,86367,,,, 
11/12/2011,87743,,,, 
11/13/2011,89008,,,, 
11/14/2011,89936,,,, 
11/15/2011,90920,,,, 
11/16/2011,92078,,,, 
11/17/2011,93611,,,, 
11/18/2011,94963,,,, 
11/19/2011,96406,,,, 
11/20/2011,97621,,,, 
11/21/2011,98732,,,, 
11/22/2011,99791,,,, 
11/23/2011,100816,,,, 
11/24/2011,101873,,,, 
11/25/2011,103007,,,, 
11/26/2011,104259,,,, 
11/27/2011,105439,,,, 
11/28/2011,106528,,,, 
11/29/2011,107602,,,, 
11/30/2011,108862,,,, 
12/01/2011,110729,,,, 
12/02/2011,114404,,,, 
12/03/2011,116952,,,, 
12/04/2011,118918,,,, 
12/05/2011,120683,,,, 
